Date,Close,High,Low,Open,Volume
3/4/2010,7.997365952,8.015459091,7.96117881,7.97927195,1535240
3/7/2010,8.033554077,8.033554077,7.979272927,7.997366932,1808842
3/8/2010,8.069739342,8.087832479,7.997365068,7.997365068,2270710
3/9/2010,8.105927467,8.142114609,8.069740326,8.087833465,2331557
3/10/2010,8.105927467,8.160208611,8.069740326,8.124020607,3115827
3/11/2010,8.087833405,8.105927407,8.069740265,8.105927407,1138180
3/14/2010,8.069739342,8.105926479,8.051645342,8.105926479,2157907
3/15/2010,8.105927467,8.142114609,8.069740326,8.087833465,3561627
3/16/2010,8.105927467,8.142114609,8.105927467,8.105927467,3385882
3/17/2010,8.105927467,8.105927467,8.105927467,8.105927467,0
3/18/2010,8.178303719,8.214490869,8.142116568,8.142116568,3408760
3/21/2010,8.214488983,8.268770127,8.178301841,8.196395844,4126805
3/22/2010,8.268770218,8.3230505,8.160208791,8.214489073,4435572
3/23/2010,8.268770218,8.3230505,8.250676215,8.268770218,3191517
3/24/2010,8.286859512,8.323046638,8.268766381,8.268766381,2131767
3/25/2010,8.431610107,8.467797242,8.268768433,8.286861569,5059402
3/28/2010,8.558265686,8.558265686,8.467797416,8.485891416,3127815
3/29/2010,8.558265686,8.558265686,8.558265686,8.558265686,0
3/30/2010,8.558265686,8.558265686,8.558265686,8.558265686,0
3/31/2010,8.594452858,8.630639993,8.503984588,8.503984588,3821137
4/1/2010,8.594452858,8.648733992,8.576358859,8.612546857,2299065
4/4/2010,8.594452858,8.594452858,8.594452858,8.594452858,0
4/5/2010,8.594452858,8.594452858,8.594452858,8.594452858,0
4/6/2010,8.648738861,8.703019163,8.612551705,8.703019163,3995892
4/7/2010,8.648738861,8.739206319,8.630644852,8.666832008,4438052
4/8/2010,8.558265686,8.630639957,8.503984552,8.594452821,2765552
4/11/2010,8.540174484,8.594455636,8.522081342,8.558268489,2779825
4/12/2010,8.659680367,8.696451798,8.622908935,8.678065644,2529832
4/13/2010,8.530982018,8.586139616,8.494210577,8.549368176,3670815
4/14/2010,8.457436562,8.53097942,8.420665133,8.53097942,2842695
4/15/2010,8.457436562,8.512594143,8.420665133,8.457436562,2397695
4/18/2010,8.512593269,8.512593269,8.420664268,8.457435693,1384592
4/19/2010,8.439050674,8.512593527,8.365507822,8.475822101,1564280
4/20/2010,8.439050674,8.457435949,8.365507822,8.420664523,3239325
4/21/2010,7.740393639,8.144879378,7.648464623,8.144879378,10062850
4/22/2010,7.813937187,7.850708621,7.722008164,7.777165753,3337452
4/25/2010,7.813937187,7.813937187,7.813937187,7.813937187,0
4/26/2010,7.813937187,7.813937187,7.813937187,7.813937187,0
4/27/2010,7.832324505,7.869095944,7.813938347,7.869095944,2935507
4/28/2010,7.832324505,7.850709786,7.795552189,7.850709786,2687565
4/29/2010,7.935256958,7.972688274,7.879111769,7.916542192,2769795
5/2/2010,7.935256958,7.935256958,7.935256958,7.935256958,0
5/3/2010,7.860394001,7.879109654,7.84167924,7.860394001,1268032
5/4/2010,7.766819954,7.879111217,7.766819954,7.86039556,2688492
5/5/2010,7.710671902,7.804248377,7.710671902,7.785532725,2612017
5/6/2010,7.635811806,7.673242221,7.598381391,7.673242221,1664070
5/9/2010,7.635811806,7.635811806,7.635811806,7.635811806,0
5/10/2010,7.48609066,7.504806315,7.33636899,7.373799407,4790522
5/11/2010,7.56095171,7.598382128,7.504806528,7.523521291,2062445
5/12/2010,7.542236805,7.635812404,7.504806387,7.560951568,1687450
5/13/2010,7.598381042,7.598381042,7.542235869,7.542235869,1231272
5/16/2010,7.48609066,7.560951495,7.429945034,7.542236733,2440015
5/17/2010,7.448661327,7.504807408,7.411230904,7.48609175,1175502
5/18/2010,7.429944992,7.467375409,7.411229783,7.467375409,1629572
5/19/2010,7.467374802,7.467374802,7.41122918,7.41122918,1265515
5/20/2010,7.411230564,7.429945775,7.392515353,7.429945775,899032
5/23/2010,7.205362797,7.39251535,7.111786743,7.39251535,5051465
5/24/2010,7.242792606,7.280223471,7.16793177,7.224077397,1600885
5/25/2010,7.16793108,7.261507562,7.111785458,7.261507562,1302435
5/26/2010,7.16793108,7.16793108,7.16793108,7.16793108,0
5/27/2010,6.569042683,6.849771182,6.381890647,6.831055978,6402997
5/30/2010,6.569042683,6.569042683,6.569042683,6.569042683,0
5/31/2010,6.569042683,6.569042683,6.569042683,6.569042683,0
6/1/2010,6.681335449,6.793627143,6.681335449,6.756196281,2101800
6/2/2010,6.625188351,6.700049165,6.606473147,6.662618758,1770327
6/3/2010,6.625188351,6.643903554,6.550327536,6.606473147,1985755
6/6/2010,6.419322968,6.475468595,6.36317734,6.475468595,3687917
6/7/2010,6.475468636,6.531614263,6.438038217,6.475468636,3673217
6/8/2010,6.494185448,6.512900662,6.419324592,6.438039806,2328960
6/9/2010,6.569042683,6.569042683,6.475466665,6.494181869,1337890
6/10/2010,6.793627262,6.831057678,6.587759526,6.587759526,7319330
6/13/2010,7.111786366,7.167931995,6.88720385,6.88720385,6001715
6/14/2010,7.111786366,7.186647204,7.055640737,7.093071156,2057590
6/15/2010,7.149216652,7.186647071,7.093071024,7.093071024,1491555
6/16/2010,7.16793108,7.205361494,7.093070251,7.130500665,2365880
6/17/2010,7.186645985,7.261507257,7.167930778,7.224076398,2197857
6/20/2010,7.261508942,7.336369785,7.205362863,7.205362863,1493842
6/21/2010,7.280222893,7.280222893,7.224076824,7.224076824,737740
6/22/2010,7.33636713,7.373797538,7.280221518,7.298936722,2172997
6/23/2010,7.242792606,7.355084307,7.224077397,7.355084307,1439065
6/24/2010,7.16793108,7.224076702,7.149215873,7.205361494,804665
6/27/2010,7.16793108,7.16793108,7.16793108,7.16793108,0
6/28/2010,7.16793108,7.16793108,7.16793108,7.16793108,0
6/29/2010,7.16793108,7.16793108,7.16793108,7.16793108,0
6/30/2010,7.036924839,7.20536171,7.036924839,7.186646502,1197002
7/1/2010,7.055641174,7.074356385,6.924634699,6.924634699,1579187
7/4/2010,6.887204647,7.01821113,6.793628588,7.01821113,2146905
7/5/2010,6.84977293,6.924633763,6.793627305,6.924633763,1256265
7/6/2010,6.887204647,6.924635071,6.868489435,6.868489435,975390
7/7/2010,6.924634933,6.943350145,6.905919722,6.905919722,1199307
7/8/2010,6.924634933,6.962065356,6.849774088,6.905919722,1423700
7/11/2010,7.036924839,7.093070463,6.980779216,6.999494423,1641122
7/12/2010,7.13050127,7.149216479,7.036925226,7.055640435,1290370
7/13/2010,7.111786366,7.130501575,7.093071156,7.130501575,494350
7/14/2010,7.111786366,7.111786366,7.111786366,7.111786366,0
7/15/2010,7.13050127,7.149216479,7.093070853,7.111786061,1091242
7/18/2010,7.0930686,7.111783803,7.055638194,7.074353397,1016392
7/19/2010,7.13050127,7.186646897,7.13050127,7.149216479,2230107
7/20/2010,7.186645985,7.186645985,7.036924333,7.111785159,2010107
7/21/2010,7.16793108,7.205361494,7.130500665,7.186646287,1725182
7/22/2010,7.261508942,7.261508942,6.980780333,7.074356387,4305735
7/25/2010,7.298939705,7.317654917,7.242793624,7.261509281,1710102
7/26/2010,7.298939705,7.336370128,7.280224493,7.298939705,515565
7/27/2010,7.242792606,7.317653889,7.224077397,7.317653889,2394680
7/28/2010,7.261508942,7.298939363,7.242793285,7.242793285,932090
7/29/2010,7.423720837,7.46188903,7.40463674,7.423720837,1649317
8/1/2010,7.290134907,7.347387222,7.271050802,7.309219012,1059472
8/2/2010,7.271049976,7.309218182,7.232881771,7.309218182,2242695
8/3/2010,7.194713116,7.271049522,7.156544913,7.271049522,3486115
8/4/2010,7.175631046,7.232883367,7.156546939,7.21379926,1469965
8/5/2010,7.061122894,7.175627479,7.042038797,7.156543382,3819465
8/8/2010,7.118381023,7.118381023,7.042044571,7.080212797,2474860
8/9/2010,7.118381023,7.15654925,7.080212797,7.09929691,1528452
8/10/2010,7.137460709,7.15654481,7.118376607,7.137460709,1218915
8/11/2010,7.118381023,7.175633363,7.080212797,7.15654925,1374572
8/12/2010,7.099292755,7.156545061,7.061124551,7.137460959,1339410
8/15/2010,7.080209732,7.118377942,7.061125627,7.118377942,1652090
8/16/2010,7.118381023,7.118381023,7.061128684,7.080212797,1150275
8/17/2010,7.099292755,7.137460959,7.099292755,7.118376857,415497
8/18/2010,7.099292755,7.137460959,7.099292755,7.118376857,793275
8/19/2010,7.099292755,7.137460959,7.061124551,7.118376857,1493020
8/22/2010,7.080209732,7.099293837,7.061125627,7.061125627,940400
8/23/2010,7.042041302,7.099293615,7.042041302,7.08020951,992132
8/24/2010,7.080209732,7.080209732,7.042041522,7.042041522,852537
8/25/2010,7.061122894,7.080206992,7.042038797,7.061122894,1311685
8/26/2010,7.099292755,7.118376857,7.042040449,7.061124551,2102172
8/29/2010,7.175631046,7.21379926,7.118378725,7.118378725,1361707
8/30/2010,7.251963615,7.271047712,7.175627228,7.175627228,1544205
8/31/2010,7.271049976,7.309218182,7.194713565,7.251965874,1533720
9/1/2010,7.271049976,7.271049976,7.232881771,7.251965874,466842
9/2/2010,7.328302383,7.366470589,7.271050074,7.271050074,1095765
9/5/2010,7.385553837,7.385553837,7.347385635,7.385553837,985645
9/6/2010,7.461890697,7.480974798,7.366469738,7.366469738,1807065
9/7/2010,7.614564419,7.633648522,7.5000598,7.519143903,1468010
9/9/2010,7.614564419,7.614564419,7.614564419,7.614564419,0
9/12/2010,7.614564419,7.614564419,7.614564419,7.614564419,0
9/14/2010,7.614564419,7.614564419,7.614564419,7.614564419,0
9/15/2010,7.671815395,7.748151795,7.671815395,7.748151795,870015
9/16/2010,7.633649349,7.76723854,7.633649349,7.69090212,2201995
9/19/2010,7.576396942,7.633649257,7.557312837,7.633649257,1172740
9/20/2010,7.557310104,7.614562398,7.557310104,7.5954783,1169587
9/21/2010,7.538229465,7.576397679,7.519145359,7.576397679,1360867
9/22/2010,7.538229465,7.576397679,7.519145359,7.538229465,2192052
9/26/2010,7.538229465,7.633649999,7.538229465,7.595481786,2804230
9/27/2010,7.519143581,7.557311786,7.500059479,7.538227684,1454732
9/28/2010,7.519143581,7.557311786,7.500059479,7.519143581,1298937
9/29/2010,7.519143581,7.519143581,7.519143581,7.519143581,0
9/30/2010,7.385553837,7.461890695,7.385553837,7.461890695,1248917
10/3/2010,7.328302383,7.423723354,7.328302383,7.385554692,1663935
10/4/2010,7.347388268,7.366472375,7.251967729,7.32830416,1615207
10/5/2010,7.251963615,7.3473841,7.251963615,7.3473841,2926350
10/6/2010,7.232881546,7.251965648,7.194713342,7.232881546,1832555
10/7/2010,7.347388268,7.347388268,7.251967729,7.251967729,2067837
10/10/2010,7.328302383,7.347386486,7.30921828,7.347386486,1067170
10/11/2010,7.385553837,7.442806594,7.309217434,7.347385635,1939225
10/12/2010,7.347388268,7.404641045,7.347388268,7.385556483,789832
10/13/2010,7.290134907,7.366471326,7.251966697,7.347387222,3064927
10/14/2010,7.290134907,7.347387222,7.251966697,7.290134907,1282257
10/17/2010,7.290134907,7.347387222,7.271050802,7.290134907,1281602
10/18/2010,7.385553837,7.385553837,7.290133333,7.290133333,940955
10/19/2010,7.500060081,7.538228289,7.385555004,7.423723666,4820110
10/20/2010,7.461890697,7.576395302,7.366469738,7.538227101,3626312
10/21/2010,7.538229465,7.576397679,7.480977145,7.500061252,6496840
10/24/2010,7.576396942,7.633649257,7.557312837,7.557312837,3324162
10/25/2010,7.652729034,7.69089722,7.576392207,7.576392207,4195675
10/26/2010,7.767236233,7.786319877,7.652731636,7.690899835,5158550
10/27/2010,7.786320686,7.805405243,7.729068837,7.76723704,2952722
10/28/2010,7.87380743,7.951573352,7.854365486,7.932131408,1681802
10/31/2010,7.737719536,7.796044463,7.718278048,7.776602511,3928730
11/1/2010,7.776602268,7.776602268,7.737719294,7.737719294,1690277
11/2/2010,7.776602268,7.796044219,7.718277807,7.776602268,2825205
11/3/2010,7.718276978,7.796043381,7.698835492,7.757159948,1987555
11/4/2010,7.718276978,7.718276978,7.718276978,7.718276978,0
11/7/2010,7.757159233,7.796042663,7.73771775,7.757159233,3124032
11/8/2010,7.776602268,7.776602268,7.737719294,7.737719294,1672322
11/9/2010,7.776602268,7.776602268,7.737719294,7.737719294,937672
11/10/2010,7.776602268,7.776602268,7.718277807,7.776602268,3531835
11/14/2010,7.776602268,7.776602268,7.776602268,7.776602268,0
11/18/2010,7.776602268,7.776602268,7.776602268,7.776602268,0
11/21/2010,7.737719536,7.796044463,7.737719536,7.776602511,468962
11/22/2010,7.776602268,7.796044219,7.757160781,7.757160781,829755
11/23/2010,7.757159233,7.776600716,7.73771775,7.757159233,1361490
11/24/2010,7.757159233,7.776600716,7.698834783,7.73771775,1104977
11/28/2010,7.796038628,7.87380452,7.776596691,7.776596691,3207362
11/29/2010,7.81548214,7.834924083,7.796041124,7.81548214,839977
11/30/2010,7.796038628,7.815479637,7.757155218,7.796038628,1043492
12/1/2010,7.757159233,7.796042663,7.757159233,7.796042663,1053042
12/5/2010,7.796038628,7.854362584,7.757155218,7.776596691,1751395
12/6/2010,7.81548214,7.81548214,7.776599181,7.81548214,1035562
12/8/2010,7.87380743,7.87380743,7.815482526,7.83492447,1758232
12/9/2010,7.87380743,7.87380743,7.87380743,7.87380743,0
12/12/2010,7.87380743,7.893248447,7.83492447,7.854365486,2721340
12/13/2010,7.971017361,8.048783311,7.873810386,7.873810386,5307157
12/14/2010,8.029338837,8.029338837,7.971013935,7.971013935,3139835
12/15/2010,8.184872627,8.223755595,7.990457788,8.029340756,4293380
